Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,Average,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/3/2018 1:00,2018,1,3,1,157,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 2:00,2018,1,3,2,161,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 3:00,2018,1,3,3,170,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 4:00,2018,1,3,4,172,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 5:00,2018,1,3,5,171,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 6:00,2018,1,3,6,180,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 7:00,2018,1,3,7,187,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 8:00,2018,1,3,8,180,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 9:00,2018,1,3,9,166,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 10:00,2018,1,3,10,152,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 11:00,2018,1,3,11,160,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 12:00,2018,1,3,12,122,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 13:00,2018,1,3,13,113,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 14:00,2018,1,3,14,97,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 15:00,2018,1,3,15,83,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 16:00,2018,1,3,16,96,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 17:00,2018,1,3,17,124,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 18:00,2018,1,3,18,136,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 19:00,2018,1,3,19,137,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 20:00,2018,1,3,20,124,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 21:00,2018,1,3,21,134,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 22:00,2018,1,3,22,158,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2018 23:00,2018,1,3,23,165,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 0:00,2018,1,4,0,166,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 1:00,2018,1,4,1,182,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 2:00,2018,1,4,2,172,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 3:00,2018,1,4,3,163,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 4:00,2018,1,4,4,179,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 5:00,2018,1,4,5,167,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 6:00,2018,1,4,6,164,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 7:00,2018,1,4,7,175,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 8:00,2018,1,4,8,200,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 9:00,2018,1,4,9,202,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 10:00,2018,1,4,10,229,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 11:00,2018,1,4,11,201,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 12:00,2018,1,4,12,188,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 13:00,2018,1,4,13,162,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 14:00,2018,1,4,14,136,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 15:00,2018,1,4,15,156,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 16:00,2018,1,4,16,144,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 17:00,2018,1,4,17,152,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 18:00,2018,1,4,18,179,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 19:00,2018,1,4,19,200,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 20:00,2018,1,4,20,208,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 21:00,2018,1,4,21,211,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 22:00,2018,1,4,22,217,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/4/2018 23:00,2018,1,4,23,217,,UG/M3,1 Hr,Valid
