Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM01(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2021/07/01;00:00:30;1625097630;37.0;105;53;54.0;34.0;63;26;26.7;80.0;83;466;-1
2021/07/01;00:15:30;1625098530;46.0;127;64;64.0;43.0;63;26;26.7;80.1;83;462;-1
2021/07/01;00:30:30;1625099430;54.0;147;74;108.0;52.0;72;31;26.7;80.0;83;459;-1
2021/07/01;00:45:30;1625100330;81.9;165;109;181.0;82.0;72;31;26.5;79.7;83;431;-1
2021/07/01;01:00:30;1625101230;117.8;183;155;212.0;118.0;72;31;26.3;79.3;83;423;-1
2021/07/01;01:15:30;1625102130;116.9;183;154;262.0;118.0;72;31;26.2;79.1;83;434;-1
2021/07/01;01:30:30;1625103030;156.3;207;207;366.0;160.0;159;95;26.1;78.9;84;440;-1
2021/07/01;01:45:30;1625103930;190.4;241;241;379.0;195.0;159;95;26.0;78.7;84;443;-1
2021/07/01;02:00:30;1625104830;234.3;284;284;526.0;243.0;159;95;26.1;78.9;82;485;-1
2021/07/01;02:15:30;1625105730;220.0;270;270;455.0;230.0;159;95;26.1;79.1;83;474;-1
2021/07/01;02:30:30;1625106630;204.7;255;255;476.0;213.0;159;95;26.2;79.2;83;472;-1
2021/07/01;02:45:30;1625107530;164.4;215;215;360.0;169.0;159;95;26.2;79.2;83;483;-1
2021/07/01;03:00:25;1625108425;120.4;185;159;265.0;122.0;159;95;26.2;79.2;83;469;-1
2021/07/01;03:15:25;1625109325;104.3;176;137;216.0;104.0;159;95;26.2;79.2;84;466;-1
2021/07/01;03:30:25;1625110225;91.8;170;122;222.0;90.0;159;95;26.1;79.0;85;445;-1
2021/07/01;03:45:25;1625111125;89.1;168;118;172.0;87.0;159;95;26.1;79.0;85;447;-1
2021/07/01;04:00:25;1625112025;95.3;172;126;214.0;94.0;159;95;26.0;78.8;86;451;-1
2021/07/01;04:15:25;1625112925;109.7;179;144;254.0;108.0;159;95;26.0;78.7;86;452;-1
2021/07/01;04:30:25;1625113825;116.9;183;154;273.0;115.0;157;91;25.9;78.6;87;450;-1
2021/07/01;04:45:25;1625114725;106.1;177;139;257.0;105.0;157;91;25.9;78.6;87;443;-1
2021/07/01;05:00:25;1625115625;100.7;174;132;205.0;98.0;157;91;25.9;78.6;87;440;-1
2021/07/01;05:15:25;1625116525;92.7;170;123;171.0;90.0;157;91;25.9;78.6;88;441;-1
2021/07/01;05:30:25;1625117425;77.4;162;104;160.0;74.0;97;49;25.9;78.6;88;444;-1
2021/07/01;05:45:25;1625118325;69.3;158;93;144.0;66.0;97;49;25.9;78.7;88;440;-1
2021/07/01;06:00:25;1625119225;86.4;167;115;202.0;84.0;97;49;25.9;78.7;88;460;-1
2021/07/01;06:15:25;1625120125;69.3;158;93;144.0;65.0;97;49;26.2;79.2;87;524;-1
2021/07/01;06:30:25;1625121025;59.5;153;81;141.0;56.0;68;29;26.4;79.6;87;583;-1
2021/07/01;06:45:25;1625121925;64.9;156;88;95.0;62.0;68;29;26.5;79.7;87;603;-1
2021/07/01;07:00:25;1625122825;65.8;156;89;131.0;63.0;68;29;26.6;79.9;87;599;-1
2021/07/01;07:15:25;1625123725;61.3;154;83;109.0;58.0;68;29;26.7;80.1;86;586;-1
2021/07/01;07:30:25;1625124625;57.7;152;79;94.0;54.0;88;43;26.8;80.2;86;572;-1
2021/07/01;07:45:25;1625125525;50.0;137;69;92.0;47.0;88;43;26.8;80.3;86;577;-1
2021/07/01;08:00:10;1625126410;40.0;112;57;67.0;37.0;88;43;26.9;80.4;85;584;-1
2021/07/01;08:00:20;1625126420;41.0;115;58;83.0;38.0;88;43;26.9;80.4;85;585;-1
2021/07/01;08:00:25;1625126425;41.0;115;58;76.0;38.0;88;43;26.9;80.4;85;585;-1
2021/07/01;08:00:30;1625126430;40.0;112;57;79.0;38.0;88;43;26.9;80.3;85;585;-1
2021/07/01;08:00:40;1625126440;39.0;110;56;70.0;36.0;88;43;26.9;80.3;85;586;-1
2021/07/01;08:00:50;1625126450;36.0;102;52;50.0;33.0;88;43;26.9;80.3;85;586;-1
2021/07/01;08:01:00;1625126460;37.0;105;53;51.0;35.0;88;43;26.9;80.4;85;587;-1
2021/07/01;08:01:10;1625126470;39.0;110;56;71.0;37.0;88;43;26.9;80.4;85;588;-1
2021/07/01;08:01:20;1625126480;41.0;115;58;78.0;39.0;88;43;26.9;80.4;85;589;-1
2021/07/01;08:01:30;1625126490;40.0;112;57;77.0;38.0;88;43;26.8;80.3;85;589;-1
2021/07/01;08:01:40;1625126500;40.0;112;57;69.0;38.0;88;43;26.8;80.3;85;589;-1
2021/07/01;08:01:50;1625126510;41.0;115;58;56.0;39.0;88;43;26.8;80.3;85;590;-1
2021/07/01;08:02:00;1625126520;40.0;112;57;50.0;38.0;88;43;26.9;80.4;85;589;-1
2021/07/01;08:02:10;1625126530;39.0;110;56;43.0;37.0;88;43;26.9;80.4;85;590;-1
2021/07/01;08:02:20;1625126540;38.0;107;55;45.0;36.0;88;43;26.9;80.4;85;590;-1
2021/07/01;08:02:30;1625126550;40.0;112;57;51.0;39.0;88;43;26.9;80.4;85;591;-1
2021/07/01;08:02:40;1625126560;41.0;115;58;67.0;40.0;88;43;26.9;80.4;85;592;-1
2021/07/01;08:02:50;1625126570;43.0;119;61;73.0;42.0;88;43;26.9;80.4;85;591;-1
2021/07/01;08:03:00;1625126580;42.0;117;60;80.0;41.0;88;43;26.9;80.4;85;591;-1
2021/07/01;08:03:10;1625126590;41.0;115;58;90.0;40.0;88;43;26.9;80.4;85;590;-1
2021/07/01;08:03:20;1625126600;41.0;115;58;90.0;40.0;88;43;26.9;80.4;85;591;-1
2021/07/01;08:03:30;1625126610;39.0;110;56;99.0;38.0;88;43;26.9;80.4;85;589;-1
