Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM01(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2021/09/01;00:02:45;1630454565;17.0;61;24;54.0;17.0;114;58;28.8;83.8;85;442;-1
2021/09/01;00:07:45;1630454865;21.0;70;30;66.0;20.0;114;58;28.8;83.8;85;446;-1
2021/09/01;00:12:45;1630455165;21.0;70;30;59.0;20.0;124;63;28.8;83.8;85;448;-1
2021/09/01;00:17:45;1630455465;21.0;70;30;43.0;20.0;124;63;28.8;83.8;85;449;-1
2021/09/01;00:22:45;1630455765;18.0;63;26;36.0;18.0;124;63;28.8;83.8;85;446;-1
2021/09/01;00:27:45;1630456065;19.0;66;27;60.0;18.0;124;63;28.8;83.8;85;442;-1
2021/09/01;00:32:45;1630456365;20.0;68;29;46.0;19.0;124;63;28.7;83.7;85;439;-1
2021/09/01;00:37:45;1630456665;16.0;59;23;37.0;16.0;124;63;28.7;83.6;85;438;-1
2021/09/01;00:42:45;1630456965;17.0;61;24;26.0;17.0;124;63;28.7;83.7;85;437;-1
2021/09/01;00:47:45;1630457265;20.0;68;29;50.0;19.0;124;63;28.7;83.6;85;447;-1
2021/09/01;00:52:45;1630457565;17.0;61;24;61.0;16.0;124;63;28.7;83.6;85;441;-1
2021/09/01;00:57:45;1630457865;18.0;63;26;51.0;17.0;124;63;28.7;83.6;85;440;-1
2021/09/01;01:02:45;1630458165;21.0;70;30;74.0;20.0;124;63;28.7;83.6;85;442;-1
2021/09/01;01:07:45;1630458465;20.0;68;29;53.0;19.0;124;63;28.7;83.6;87;440;-1
2021/09/01;01:12:45;1630458765;20.0;68;29;81.0;19.0;112;56;28.7;83.6;87;439;-1
2021/09/01;01:17:45;1630459065;19.0;66;27;45.0;18.0;112;56;28.7;83.6;87;439;-1
2021/09/01;01:22:45;1630459365;21.0;70;30;35.0;20.0;112;56;28.6;83.5;87;440;-1
2021/09/01;01:27:45;1630459665;21.0;70;30;47.0;20.0;112;56;28.6;83.4;87;439;-1
2021/09/01;01:32:45;1630459965;21.0;70;30;70.0;20.0;112;56;28.6;83.5;88;441;-1
2021/09/01;01:37:45;1630460265;20.0;68;29;57.0;19.0;112;56;28.6;83.4;88;444;-1
2021/09/01;01:42:45;1630460565;23.0;74;33;61.0;23.0;112;56;28.6;83.4;88;445;-1
