Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM01(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2021/06/01;00:00:30;1622505630;66.7;157;90;132.0;67.0;137;69;28.0;82.4;84;480;-1
2021/06/01;00:15:30;1622506530;85.5;166;114;185.0;88.0;137;69;28.1;82.6;84;482;-1
2021/06/01;00:30:30;1622507430;116.9;183;154;265.0;124.0;152;79;28.1;82.6;84;473;-1
2021/06/01;00:45:30;1622508330;122.2;185;161;302.0;130.0;152;79;28.1;82.5;83;466;-1
2021/06/01;01:00:30;1622509230;123.1;186;162;321.0;131.0;152;79;28.1;82.5;84;465;-1
2021/06/01;01:15:30;1622510130;120.4;185;159;266.0;127.0;152;79;28.1;82.6;83;462;-1
2021/06/01;01:30:30;1622511030;117.8;183;155;263.0;124.0;149;75;28.1;82.5;84;467;-1
2021/06/01;01:45:30;1622511930;117.8;183;155;311.0;125.0;149;75;28.2;82.7;84;464;-1
2021/06/01;02:00:06;1622512806;116.0;182;152;253.0;123.0;149;75;28.1;82.6;84;457;-1
2021/06/01;02:15:06;1622513706;101.6;175;134;203.0;105.0;149;75;28.1;82.6;84;464;-1
2021/06/01;02:30:06;1622514606;92.7;170;123;227.0;96.0;149;75;28.1;82.6;84;486;-1
2021/06/01;02:45:06;1622515506;88.2;168;117;205.0;91.0;149;75;28.4;83.1;84;505;-1
2021/06/01;03:00:06;1622516406;76.5;162;103;138.0;78.0;149;75;28.3;83.0;84;489;-1
2021/06/01;03:15:06;1622517306;90.9;169;120;224.0;95.0;149;75;28.3;82.9;84;519;-1
2021/06/01;03:30:06;1622518206;96.2;172;127;193.0;101.0;156;88;28.2;82.8;84;505;-1
2021/06/01;03:45:06;1622519106;204.7;255;255;412.0;222.0;156;88;27.9;82.3;85;486;-1
2021/06/01;04:00:06;1622520006;109.7;179;144;240.0;114.0;156;88;27.9;82.3;86;492;-1
2021/06/01;04:15:06;1622520906;128.5;189;170;282.0;136.0;156;88;27.8;82.0;86;500;-1
2021/06/01;04:30:06;1622521806;123.1;186;162;260.0;128.0;152;78;27.4;81.4;87;432;-1
2021/06/01;04:45:06;1622522706;79.2;163;106;161.0;78.0;152;78;27.3;81.2;87;431;-1
2021/06/01;05:00:06;1622523606;83.7;166;112;170.0;83.0;152;78;27.2;81.0;87;427;-1
2021/06/01;05:15:06;1622524506;105.2;177;138;220.0;105.0;152;78;27.0;80.6;87;430;-1
2021/06/01;05:30:06;1622525406;113.3;181;148;241.0;115.0;159;95;27.0;80.6;87;427;-1
2021/06/01;05:45:06;1622526306;119.6;184;157;266.0;122.0;159;95;27.0;80.6;87;436;-1
2021/06/01;06:00:06;1622527206;88.2;168;117;214.0;87.0;159;95;27.0;80.6;88;437;-1
2021/06/01;06:15:06;1622528106;64.9;156;88;137.0;63.0;159;95;27.4;81.3;87;532;-1
2021/06/01;06:30:06;1622529006;48.0;132;67;85.0;46.0;159;95;27.5;81.6;87;529;-1
2021/06/01;06:45:06;1622529906;36.0;102;52;68.0;34.0;159;95;27.6;81.6;87;537;-1
2021/06/01;07:00:06;1622530806;25.0;78;36;49.0;23.0;159;95;27.6;81.7;87;546;-1
2021/06/01;07:15:06;1622531706;19.0;66;27;24.0;17.0;159;95;27.6;81.7;87;570;-1
2021/06/01;07:30:06;1622532606;16.0;59;23;24.0;14.0;152;79;27.7;81.8;87;572;-1
2021/06/01;07:45:06;1622533506;21.0;70;30;26.0;19.0;152;79;27.7;81.8;87;572;-1
2021/06/01;08:00:06;1622534406;16.0;59;23;39.0;14.0;152;79;27.7;81.8;87;569;-1
2021/06/01;08:00:10;1622534410;17.0;61;24;36.0;15.0;152;79;27.7;81.8;87;569;-1
2021/06/01;08:00:20;1622534420;18.0;63;26;26.0;16.0;152;79;27.7;81.8;87;569;-1
2021/06/01;08:00:30;1622534430;19.0;66;27;24.0;17.0;152;79;27.7;81.8;87;568;-1
2021/06/01;08:00:40;1622534440;18.0;63;26;26.0;16.0;152;79;27.7;81.8;87;567;-1
2021/06/01;08:00:50;1622534450;18.0;63;26;23.0;16.0;152;79;27.7;81.8;87;565;-1
2021/06/01;08:01:00;1622534460;18.0;63;26;34.0;16.0;152;79;27.6;81.8;87;565;-1
2021/06/01;08:01:10;1622534470;18.0;63;26;34.0;16.0;152;79;27.6;81.8;87;566;-1
2021/06/01;08:01:20;1622534480;18.0;63;26;42.0;16.0;152;79;27.6;81.8;87;566;-1
2021/06/01;08:01:30;1622534490;17.0;61;24;37.0;15.0;152;79;27.7;81.8;87;567;-1
2021/06/01;08:01:40;1622534500;18.0;63;26;34.0;16.0;152;79;27.7;81.8;87;567;-1
2021/06/01;08:01:50;1622534510;18.0;63;26;38.0;17.0;152;79;27.7;81.8;87;568;-1
2021/06/01;08:02:00;1622534520;19.0;66;27;39.0;18.0;152;79;27.7;81.8;87;569;-1
2021/06/01;08:02:10;1622534530;17.0;61;24;41.0;15.0;152;79;27.7;81.8;87;569;-1
2021/06/01;08:02:20;1622534540;17.0;61;24;33.0;15.0;152;79;27.7;81.8;87;568;-1
2021/06/01;08:02:30;1622534550;17.0;61;24;30.0;15.0;152;79;27.6;81.8;86;563;-1
2021/06/01;08:02:40;1622534560;17.0;61;24;37.0;15.0;152;79;27.6;81.8;86;560;-1
2021/06/01;08:02:50;1622534570;17.0;61;24;41.0;15.0;152;79;27.6;81.8;86;554;-1
2021/06/01;08:03:00;1622534580;16.0;59;23;40.0;14.0;152;79;27.6;81.7;86;552;-1
2021/06/01;08:03:10;1622534590;16.0;59;23;29.0;14.0;152;79;27.6;81.7;86;547;-1
2021/06/01;08:03:20;1622534600;16.0;59;23;29.0;14.0;152;79;27.6;81.7;86;544;-1
2021/06/01;08:03:30;1622534610;16.0;59;23;24.0;14.0;152;79;27.6;81.7;86;538;-1
2021/06/01;08:03:40;1622534620;17.0;61;24;26.0;15.0;152;79;27.6;81.7;86;535;-1
2021/06/01;08:03:50;1622534630;19.0;66;27;28.0;18.0;152;79;27.6;81.7;86;534;-1
2021/06/01;08:04:00;1622534640;20.0;68;29;34.0;19.0;152;79;27.6;81.7;86;533;-1
2021/06/01;08:04:10;1622534650;20.0;68;29;37.0;19.0;152;79;27.6;81.7;86;533;-1
2021/06/01;08:04:20;1622534660;18.0;63;26;27.0;17.0;152;79;27.6;81.7;86;533;-1
2021/06/01;08:04:30;1622534670;17.0;61;24;26.0;15.0;152;79;27.6;81.7;86;533;-1
2021/06/01;08:04:40;1622534680;17.0;61;24;22.0;15.0;152;79;27.6;81.7;86;533;-1
2021/06/01;08:04:50;1622534690;17.0;61;24;26.0;15.0;152;79;27.6;81.7;86;530;-1
2021/06/01;08:05:00;1622534700;17.0;61;24;30.0;16.0;152;79;27.6;81.7;86;529;-1
2021/06/01;08:05:10;1622534710;18.0;63;26;27.0;17.0;152;79;27.6;81.7;86;530;-1
2021/06/01;08:05:20;1622534720;18.0;63;26;27.0;17.0;152;79;27.6;81.7;86;529;-1
2021/06/01;08:05:30;1622534730;17.0;61;24;22.0;17.0;152;79;27.6;81.7;86;529;-1
2021/06/01;08:05:40;1622534740;16.0;59;23;36.0;16.0;152;79;27.6;81.7;86;529;-1
2021/06/01;08:05:50;1622534750;16.0;59;23;33.0;16.0;152;79;27.6;81.7;86;529;-1
